Iron Maiden,New wave of british heavy,Heavy,,,
Opeth,Extreme progressive,Progressive rock,Progressive,,
Metallica,Heavy,Bay area thrash,,,
Megadeth,Thrash,Heavy,Hard rock,,
Amon Amarth,Melodic death,,,,
Slayer,Thrash,,,,
Death (banda),Progressive death,Death,Progressive thrash,,
Dream Theater,Progressive,,,,
Black Sabbath,Doom,Heavy,Hard rock,,
Nightwish,Symphonic power,Gothic,Symphonic,,
Children Of Bodom,Extreme power,,,,
Judas Priest,Heavy,Hard rock,,,
Blind Guardian,Power,Speed,,,
In Flames,Gothenburg,Alternative,,,
Pantera,Heavy,Groove thrash,Groove metal,,
Dark Tranquillity,Gothenburg,,,,
Agalloch,Atmospheric black,Neofolk,,,
Ensiferum,Extreme folk,,,,
Arch Enemy,Gothenburg,,,,
Katatonia,Blackened doom,Death doom,Alternative rock,Gothic doom,
Behemoth,Death,Black,Blackened death,,
Dimmu Borgir,Symphonic black,Black,,,
Kreator,Teutonic thrash,,,,
Wintersun,Extreme power,,,,
Insomnium,Melodic death,,,,
Amorphis,Death,Melodic death,Folk,Progressive,
Kamelot,Symphonic power,,,,
Tool,Progressive,Alternative,,,
Helloween,Speed,Power,,,
Testament,Bay area thrash,,,,
Epica,Symphonic,,,,
Immortal,Death,Black,,,
Lamb Of God,Groove thrash,,,,
Iced Earth,Heavy,Us power,,,
Anathema,Death doom,Atmospheric rock,Doom,,
Symphony X,Progressive,Symphonic power,,,
Eluveitie,Celtic folk,Gothenburg,,,
Gojira,Progressive death,,,,
Rammstein,Industrial,,,,
Sonata Arctica,Power,,,,
Mastodon,Progressive stoner,Progressive sludge,,,
Nile,Brutal death,Technical death,,,
Sepultura,Alternative,Death,Groove thrash,Thrash,
Moonspell,Folk,Gothic black,Gothic,Symphonic black,Black
Therion,Death,Symphonic,,,
Cannibal Corpse,Death,,,,
Enslaved,Viking black,Progressive black,,,
Emperor,Black,Symphonic black,,,
Porcupine Tree,Progressive rock,Progressive,,,
Cradle Of Filth,Extreme gothic,Symphonic black,Death,Symphonic,
Be'lakor,Melodic death,,,,
My Dying Bride,Death doom,Gothic doom,,,
Led Zeppelin,Progressive hard rock,Heavy,Blues rock,,
Nevermore,Heavy,Progressive,Thrash,,
Stratovarius,Power,Heavy,,,
Paradise Lost,Gothic,Electro gothic,Death doom,,
Dio,Heavy,,,,
